TIC,catogory1,Photometry1,catogory2,Photometry2,Literature,p_TGLC_value,p_TGLC_error,f_p_value,f_p_error
395393265,3,\dagger,,,Rodriguez2023,0.086591482,0.001037777,0.056925861,0.011302505
401125028,2,TESS-SPOC,2,SPOC,Schulte2024,0.125458687,0.004080024,0.063749004,0.030447686
404505029,3,SPOC,,,Wittenmyer2022,0.055030913,0.001227035,-0.012405894,0.022573811
404518509,3,SPOC,,,Nies2024,0.020467589,0.002638233,-0.157136384,0.149152671
407126408,3,SPOC,,,Mistry2023,0.0309818,0.00275025,0.009125484,0.087959791
408636441,3,SPOC,,,Espinoza2022,0.0477776,0.00423315,-0.009257031,0.089421327
410214986,3,SPOC,,,Newton2019,0.056397615,0.004003163,0.038813026,0.068226079
417646390,2,SPOC,,,Yee2022,0.09212862,0.000971979,0.06064963,0.009910376
417931607,3,SPOC,,,Polanski2024,0.025302123,0.001789461,0.068860951,0.06585366
419523962,3,SPOC,,,Saunders2024,0.0462384,0.0041008,-0.220547365,0.108248136
420112589,3,SPOC,,,Cadieux2022,0.057427919,0.004346758,0.029375394,0.073467226
422756130,3,SPOC,,,Cherubim2023,0.039711335,0.002796425,0.148268549,0.059977921
428699140,3,SPOC,,,Mistry2023,0.048554,0.0022803,-0.00989368,0.047428854
429358906,3,TESS-SPOC,3,SPOC,Hori2024,0.066234,0.00553645,0.083698766,0.076592928
436873727,3,SPOC,,,Bieryla2024,0.057024054,0.001056237,0.235155332,0.014166956
437856897,3,SPOC,,,Khandelwal2023,0.038533425,0.001325608,-0.01492414,0.034914911
439366538,2,QLP,,,Hacker2024,0.094533622,0.012136054,0.042844454,0.122877886
439456714,3,SPOC,,,Magliano2023,0.0762196,0.0041115,0.119475519,0.047497972
441738827,3,SPOC,,,Barkaoui2023,0.0672601,0.01956825,0.29121155,0.20621066
441765914,3,SPOC,,,Polanski2024,0.038019143,0.001573856,-0.047217851,0.043351057
445805961,3,SPOC,,,Konig2022,0.052322449,0.000822493,0.047739459,0.014969247
445903569,3,QLP,3,SPOC,Page2024,0.0638322,0.0014541,0.146056573,0.019452864
446549906,2,QLP,,,Schulte2024,0.140914585,0.002790311,0.05243458,0.018763153
452006073,2,QLP,,,Hacker2024,0.052831114,0.001922836,0.051531841,0.034520348
454248975,2,QLP,,,Yee2023,0.095143488,0.00082233,0.05071685,0.0082047
456862677,3,PATHOS,3,SPOC,Carleo2024b,0.141273206,0.001992869,0.0816608,0.012954545
460205581,3,SPOC,,,Bouma2020,0.082448683,0.010263777,0.03085054,0.120646365
464646604,3,SPOC,,,Zhou2022,0.0279537,0.0072647,0.088977725,0.236759482
466206508,3,SPOC,,,Grieves2022,0.1041928,0.0038531,0.059400578,0.03478382
468574941,3,SPOC,,,Kabath2022,0.123680825,0.002436613,0.011192697,0.019480306
470171739,2,TESS-SPOC,2,SPOC,Schulte2024,0.0982624,0.000556239,0.063013352,0.005304049
